datos;hora;z1;z2;z3;z4
1;11:57;0;10;16;21
2;11:57;0;12;15;18
3;11:58;0;9;16;18
4;11:59;0;15;15;15
5;12:02;0;6;9;11
6;12:04;0;15;15;20
7;12:05;0;9;10;10
8;12:06;0;3;12;13
9;12:08;0;14;18;18
10;12:09;0;14;23;26
11;12:09;0;9;17;19
12;12:10;0;8;14;19
13;12:10;0;6;16;13
14;12:14;0;5;15;19
15;12:15;0;5;14;19
16;12:16;0;16;19;20
17;12:17;0;19;20;29
18;12:18;0;17;21;22
19;12:19;0;9;11;13
20;12:20;0;15;22;22
21;12:20;0;10;14;14
22;12:22;0;17;18;18
23;12:23;0;18;20;23
24;12:24;0;16;19;20
25;12:27;0;7;19;24
26;12:32;0;14;18;19
27;12:33;0;9;11;12
28;12:33;0;10;15;16
29;12:40;0;15;21;22
30;12:41;0;11;18;18
31;12:42;0;8;14;19
32;12:43;0;24;24;24
33;12:44;0;13;17;19
34;12:46;0;3;11;14
35;12:47;0;4;11;14
36;12:49;0;9;13;14
37;12:51;0;16;22;22
